"URL","Clasificación auditoría","HTTP antes","HTTP después verificado","Redirección implementada","404/410 implementado","Sitemap antes","Sitemap después","Canonical antes","Canonical después","Meta robots antes","Meta robots después","X-Robots-Tag antes","X-Robots-Tag después","Enlace interno corregido","Resultado","Motivo / limitación"
"https://bringasinsurance.com/2025/08/05/uvlekatelnye-igry-v-onlaynkazino-pinco-stavki-dostupny-dlya-igrokov-iz-kirgizii/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/10/🎲-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-hziilz/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/08/oestqe-board-kings-cheats-free-gems-generator-2024-no-verification-new-method/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/best-tricks-for-free-gems-in-brawl-stars/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/grab-how-to-play-double-down-casino-on-pc-tutorial-a1xgmli/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/06/vivatbet-pelinkauneet-casinolla-verkkossa-suomen-pelajille/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/boost-your-brawl-stars-with-free-gems-2/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/13/wazamba-casino-πλεονεκτήματα-και-μειονεκτήματα/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/12/wazamba-casino-greece-παρουσίαση-1f52c27c/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/07/new-jfllkd-bingo-bash-cheats-boost-your-winnings-with-161qiop/feed/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/motorcycle-insurance/","Página válida que debe indexarse","200","200","No","No","Sí","Sí","https://bringasinsurance.com/motorcycle-insurance","https://bringasinsurance.com/motorcycle-insurance","No observado en HTML inicial; sin noindex en SEO.tsx","No observado en HTML inicial; sin noindex en SEO.tsx","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/seguro-auto-comercial-en-seattle-washington/","Problema cuyo origen está fuera del repositorio","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/08/07/exclusive-double-down-casino-chips-generator-2025-cki4ywk/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/szhigm-board-kings-cheats-free-gems-generator-2024-no-verification-new-method/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/motorcycle-insurance-in-seattle-washington/","URL movida con reemplazo equivalente","200","200","No","No","No","No","https://bringasinsurance.com/motorcycle-insurance","https://bringasinsurance.com/motorcycle-insurance","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/seguros-para-propietarios-de-negocios-en-seattle-washington/","Problema cuyo origen está fuera del repositorio","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/8-ways-to-get-free-dice-dream-rolls-links-2025-ultimate-method-el6xcu/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/🕹️-how-to-get-free-amazon-gift-cards-easily-no-scam-just-rewards-bxtrf5-2/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
"https://bringasinsurance.com/2025/07/30/kiy8atxsl/","URL spam, hackeada o generada por error","200","200","No","No","No","No","No declarada en HTML inicial; SEO client-side solo al renderizar","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No observado","No","Pendiente de revisión/hosting","El informe exige validación externa o manual antes de cambiarla."
